"","PARTICIPANT","SCORE","X1_c","X2","X1_notCentered"
"1",1,21,-42.9,"Test1",26.57
"2",1,NA,-42.9,"Test2",26.57
"3",2,21,18.92,"Test1",88.39
"4",2,20,18.92,"Test2",88.39
"5",3,15,NA,"Test1",NA
"6",3,17,NA,"Test2",NA
"7",4,26,NA,"Test1",NA
"8",4,19,NA,"Test2",NA
"9",5,52,6.96,"Test1",76.43
"10",5,21,6.96,"Test2",76.43
"11",6,39,24.22,"Test1",93.69
"12",6,27,24.22,"Test2",93.69
"13",7,19,-16.98,"Test1",52.49
"14",7,16,-16.98,"Test2",52.49
"15",8,53,NA,"Test1",NA
"16",8,18,NA,"Test2",NA
"17",9,40,-1.63,"Test1",67.84
"18",9,26,-1.63,"Test2",67.84
"19",10,19,-9.75,"Test1",59.72
"20",10,17,-9.75,"Test2",59.72
"21",11,66,NA,"Test1",NA
"22",11,29,NA,"Test2",NA
"23",12,29,-24.52,"Test1",44.95
"24",12,23,-24.52,"Test2",44.95
"25",13,28,-8.6,"Test1",60.87
"26",13,28,-8.6,"Test2",60.87
"27",14,35,-1.63,"Test1",67.84
"28",14,22,-1.63,"Test2",67.84
"29",15,29,-15.84,"Test1",53.63
"30",15,NA,-15.84,"Test2",53.63
"31",16,23,-14.84,"Test1",54.63
"32",16,21,-14.84,"Test2",54.63
"33",17,NA,NA,"Test1",NA
"34",17,NA,NA,"Test2",NA
"35",18,NA,NA,"Test1",NA
"36",18,NA,NA,"Test2",NA
"37",19,NA,NA,"Test1",NA
"38",19,22,NA,"Test2",NA
"39",20,41,NA,"Test1",NA
"40",20,31,NA,"Test2",NA
"41",21,46,NA,"Test1",NA
"42",21,NA,NA,"Test2",NA
"43",22,40,-11.17,"Test1",58.3
"44",22,26,-11.17,"Test2",58.3
"45",23,7,-50.29,"Test1",19.18
"46",23,4,-50.29,"Test2",19.18
"47",24,36,15.94,"Test1",85.41
"48",24,23,15.94,"Test2",85.41
"49",25,25,NA,"Test1",NA
"50",25,21,NA,"Test2",NA
"51",26,36,8.88,"Test1",78.35
"52",26,26,8.88,"Test2",78.35
"53",27,31,NA,"Test1",NA
"54",27,20,NA,"Test2",NA
"55",28,30,-12.55,"Test1",56.92
"56",28,26,-12.55,"Test2",56.92
"57",29,16,NA,"Test1",NA
"58",29,20,NA,"Test2",NA
"59",30,30,-37.64,"Test1",31.83
"60",30,25,-37.64,"Test2",31.83
"61",31,49,-29.07,"Test1",40.4
"62",31,37,-29.07,"Test2",40.4
"63",32,NA,NA,"Test1",NA
"64",32,25,NA,"Test2",NA
"65",33,8,-41.09,"Test1",28.38
"66",33,18,-41.09,"Test2",28.38
"67",34,24,-14.24,"Test1",55.23
"68",34,25,-14.24,"Test2",55.23
"69",35,61,-25.9,"Test1",43.57
"70",35,24,-25.9,"Test2",43.57
"71",36,23,-58.94,"Test1",10.53
"72",36,15,-58.94,"Test2",10.53
"73",37,32,17.59,"Test1",87.06
"74",37,34,17.59,"Test2",87.06
"75",38,20,25.24,"Test1",94.71
"76",38,15,25.24,"Test2",94.71
"77",39,26,NA,"Test1",NA
"78",39,29,NA,"Test2",NA
"79",40,41,-20.25,"Test1",49.22
"80",40,24,-20.25,"Test2",49.22
"81",41,25,-42.26,"Test1",27.21
"82",41,20,-42.26,"Test2",27.21
"83",42,20,NA,"Test1",NA
"84",42,15,NA,"Test2",NA
"85",43,16,-53.45,"Test1",16.02
"86",43,21,-53.45,"Test2",16.02
"87",44,NA,NA,"Test1",NA
"88",44,13,NA,"Test2",NA
"89",45,22,NA,"Test1",NA
"90",45,27,NA,"Test2",NA
"91",46,33,27.24,"Test1",96.71
"92",46,23,27.24,"Test2",96.71
"93",47,69,33.05,"Test1",102.52
"94",47,34,33.05,"Test2",102.52
"95",48,34,19.75,"Test1",89.22
"96",48,17,19.75,"Test2",89.22
"97",49,29,46.16,"Test1",115.63
"98",49,34,46.16,"Test2",115.63
"99",50,25,22.36,"Test1",91.83
"100",50,25,22.36,"Test2",91.83
"101",51,30,NA,"Test1",NA
"102",51,26,NA,"Test2",NA
"103",52,25,18.19,"Test1",87.66
